header,panel
Canonical Tags,AMP page which self canonicalises
Canonical Tags,Separate Desktop with Meta Irregular Media Pixel Size
Canonical Tags,Separate Desktop with Response Header Alt
Status Codes,Separate Desktop page with separate mobile and/or AMP
Status Codes,Separate Desktop page with AMP page as AMP and Mobile
Status Codes,Separate Desktop with different H1
Status Codes,Separate Desktop with different title
Status Codes,Separate Desktop with different wordcount
Status Codes,Separate Desktop with different links in
Status Codes,Separate Desktop with different links out
Status Codes,Separate Desktop which links to a mobile page not on the mobile subdomain
Status Codes,Separate Desktop with mobile and AMP which self canonicalises
Status Codes,Separate Mobile page not on the mobile subdomain
Status Codes,A dynamically served page
Status Codes,A responsive page
Status Codes,No mobile configuration
Status Codes,Other desktop page linking to the same mobile pages as other desktop
Status Codes,An AMP page which also has a dedicated mobile page
Status Codes,Responsive with AMP
Status Codes,AMP for responsive Page
Status Codes,No mobile configuration with AMP
Status Codes,AMP for no mobile configuration
Status Codes,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Status Codes,AMP page as mobile self-referential
Status Codes,AMP page which self canonicalises
Status Codes,Separate Desktop with Meta Irregular Media Pixel Size
Status Codes,Separate Desktop with Response Header Alt
Social Tags,Separate Desktop page with separate mobile and/or AMP
Social Tags,Separate Desktop page with AMP page as AMP and Mobile
Social Tags,Separate Desktop with different H1
Social Tags,Separate Desktop with different title
Social Tags,Separate Desktop with different wordcount
Social Tags,Separate Desktop with different links in
Social Tags,Separate Desktop with different links out
Social Tags,Separate Desktop which links to a mobile page not on the mobile subdomain
Social Tags,Separate Desktop with mobile and AMP which self canonicalises
Social Tags,Separate Mobile page not on the mobile subdomain
Social Tags,A dynamically served page
Social Tags,A responsive page
Social Tags,No mobile configuration
Social Tags,Other desktop page linking to the same mobile pages as other desktop
Social Tags,An AMP page which also has a dedicated mobile page
Social Tags,Responsive with AMP
Social Tags,AMP for responsive Page
Social Tags,No mobile configuration with AMP
Social Tags,AMP for no mobile configuration
Social Tags,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Social Tags,AMP page as mobile self-referential
Social Tags,AMP page which self canonicalises
Social Tags,Separate Desktop with Meta Irregular Media Pixel Size
Social Tags,Separate Desktop with Response Header Alt
Content,Separate Desktop page with separate mobile and/or AMP
Content,Separate Desktop page with AMP page as AMP and Mobile
Content,Separate Desktop with different H1
Content,Separate Desktop with different title
Content,Separate Desktop with different wordcount
Content,Separate Desktop with different links in
Content,Separate Desktop with different links out
Content,Separate Desktop which links to a mobile page not on the mobile subdomain
Content,Separate Desktop with mobile and AMP which self canonicalises
Content,Separate Mobile page not on the mobile subdomain
Content,A dynamically served page
Content,A responsive page
Content,No mobile configuration
Content,Other desktop page linking to the same mobile pages as other desktop
Content,An AMP page which also has a dedicated mobile page
Content,Responsive with AMP
Content,AMP for responsive Page
Content,No mobile configuration with AMP
Content,AMP for no mobile configuration
Content,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Content,AMP page as mobile self-referential
Content,AMP page which self canonicalises
Content,Separate Desktop with Meta Irregular Media Pixel Size
Content,Separate Desktop with Response Header Alt
Other,Separate Desktop page with separate mobile and/or AMP
Other,Separate Desktop page with AMP page as AMP and Mobile
Other,Separate Desktop with different H1
Other,Separate Desktop with different title
Other,Separate Desktop with different wordcount
Other,Separate Desktop with different links in
Other,Separate Desktop with different links out
Other,Separate Desktop which links to a mobile page not on the mobile subdomain
Other,Separate Desktop with mobile and AMP which self canonicalises
Other,Separate Mobile page not on the mobile subdomain
Other,A dynamically served page
Other,A responsive page
Other,No mobile configuration
Other,Other desktop page linking to the same mobile pages as other desktop
Other,An AMP page which also has a dedicated mobile page
Other,Responsive with AMP
Other,AMP for responsive Page
Other,No mobile configuration with AMP
Other,AMP for no mobile configuration
Other,"An AMP page with no canonical (or self-ref, and no inbound AMP links"
Other,AMP page as mobile self-referential
Other,AMP page which self canonicalises
Other,Separate Desktop with Meta Irregular Media Pixel Size
Other,Separate Desktop with Response Header Alt
